File Name:	PMMA_DE_6mm_60Kmin_4mg_R2.txt
Version: 8.3.7.3
Date:	13 Aug 2024
Operator:	KH
Test ID:	PMMA_DE_6mm_4mg_60K_R2
Sample ID:	PMMA_DE_6mm_4mg
Sample Mass (mg):	4.0500
Sample Cup Mass (mg):	184.2700
End Total Mass (mg):
Heating Rate (C/s):	1.0000
Combuster Temperature (C):	900.0
N2 Flow Rate (cc/min):	80.0
O2 Flow Rate (cc/min):	20.0
Calibration File:	Coeff.txt
T Correction Coefficients:	0.308738730	0.013615500	0.000000000
Time Shift (s):	10.0
Pre-Test Comments:
Post-Test Comments:
Baseline Flow:	100.127
Baseline O2:	20.280
Instrument ID:
@
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	Total Flow (cc/min)	Oxygen (%)	HRR (W/g)	Heating Rate (C/s)	Combustor Temp (C)
0.000	75.032	80.062	19.974	100.127	20.298	-9.942	-0.049	899.945
0.500	75.030	80.061	19.972	100.106	20.276	-8.284	-0.004	899.854
1.000	75.072	80.059	19.974	100.084	20.256	-6.845	0.040	899.921
1.500	75.064	80.059	19.973	100.081	20.235	-5.377	0.033	899.902
2.001	75.104	80.058	19.974	100.120	20.216	-3.977	0.032	899.920
2.500	75.130	80.060	19.972	100.207	20.203	-3.011	0.067	899.877
3.000	75.230	80.055	19.973	100.326	20.193	-2.265	0.126	899.829
3.500	75.186	80.061	19.973	100.474	20.186	-1.649	0.055	899.874
4.000	75.265	80.060	19.976	100.621	20.179	-1.118	0.035	900.013
4.500	75.380	80.057	19.974	100.734	20.175	-0.806	0.194	899.862
5.000	75.435	80.058	19.975	100.801	20.172	-0.984	0.171	899.892
5.500	75.507	80.055	19.975	100.831	20.166	-1.559	0.128	899.918
6.000	75.604	80.056	19.975	100.837	20.168	-3.492	0.169	899.926
6.501	75.675	80.056	19.974	100.835	20.163	-5.415	0.167	899.872
7.001	75.778	80.054	19.974	100.835	20.161	-7.577	0.174	899.882
7.500	75.862	80.057	19.974	100.835	20.163	-9.869	0.187	899.848
8.001	75.960	80.057	19.974	100.843	20.160	-11.415	0.182	899.851
8.500	76.092	80.054	19.974	100.854	20.163	-12.659	0.230	899.856
9.000	76.226	80.057	19.973	100.862	20.161	-12.642	0.266	899.829
9.500	76.341	80.058	19.973	100.865	20.163	-12.385	0.250	899.858
10.000	76.480	80.058	19.973	100.865	20.155	-11.273	0.255	899.827
10.501	76.606	80.057	19.975	100.864	20.141	-9.656	0.264	899.859
11.000	76.777	80.055	19.974	100.859	20.115	-7.128	0.296	899.805
11.500	76.926	80.056	19.974	100.855	20.086	-4.485	0.320	899.831
12.000	77.115	80.058	19.974	100.859	20.058	-1.812	0.338	899.840
12.500	77.262	80.055	19.973	100.895	20.034	0.576	0.336	899.826
13.001	77.465	80.055	19.974	100.982	20.016	2.451	0.350	899.848
13.501	77.715	80.055	19.974	101.133	20.005	3.764	0.453	899.795
14.000	77.943	80.056	19.973	101.320	20.006	4.216	0.478	899.823
14.500	78.188	80.057	19.974	101.507	20.004	4.949	0.473	899.802
15.000	78.475	80.058	19.974	101.660	20.011	4.878	0.532	899.801
15.500	78.751	80.057	19.974	101.752	20.010	5.267	0.562	899.781
