File Name:	PMMA_DE_6mm_60Kmin_4mg_R3.txt
Version: 8.3.7.3
Date:	05 Sep 2024
Operator:	KH
Test ID:	PMMA_DE_6mm_4mg_60K_R3
Sample ID:	PMMA_DE_6mm_4mg
Sample Mass (mg):	4.0900
Sample Cup Mass (mg):	186.2800
End Total Mass (mg):	0.0000
Heating Rate (C/s):	1.0000
Combuster Temperature (C):	900.0
N2 Flow Rate (cc/min):	80.0
O2 Flow Rate (cc/min):	20.0
Calibration File:	Coeff.txt
T Correction Coefficients:	0.308738730	0.013615500	0.000000000
Time Shift (s):	10.0
Pre-Test Comments:
Post-Test Comments:
Baseline Flow:	100.240
Baseline O2:	20.196
Instrument ID:
@
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	Total Flow (cc/min)	Oxygen (%)	HRR (W/g)	Heating Rate (C/s)	Combustor Temp (C)
0.000	74.967	80.017	19.978	100.240	20.184	-8.399	0.048	900.482
0.499	74.953	80.014	19.978	100.242	20.167	-7.028	-0.008	900.476
0.999	74.971	80.016	19.977	100.243	20.144	-5.212	0.005	900.466
1.499	75.001	80.017	19.978	100.252	20.128	-3.962	0.047	900.452
1.999	75.029	80.015	19.978	100.291	20.111	-2.615	0.057	900.455
2.499	75.045	80.018	19.978	100.372	20.100	-1.740	0.045	900.434
2.999	75.069	80.019	19.979	100.474	20.095	-1.286	0.040	900.426
3.499	75.149	80.017	19.979	100.599	20.088	-0.668	0.104	900.437
3.999	75.199	80.017	19.979	100.723	20.084	-0.376	0.131	900.449
4.499	75.298	80.016	19.980	100.824	20.079	0.105	0.149	900.437
5.000	75.306	80.016	19.979	100.880	20.079	-0.217	0.107	900.412
5.500	75.426	80.018	19.979	100.912	20.078	-1.087	0.127	900.419
6.000	75.526	80.015	19.979	100.920	20.078	-2.649	0.220	900.400
6.500	75.599	80.016	19.978	100.916	20.078	-4.516	0.174	900.417
7.000	75.718	80.018	19.979	100.905	20.076	-6.437	0.191	900.393
7.500	75.868	80.016	19.978	100.900	20.075	-8.511	0.269	900.400
8.000	75.975	80.016	19.978	100.895	20.074	-10.323	0.257	900.383
8.500	76.100	80.019	19.979	100.890	20.074	-11.410	0.232	900.410
8.999	76.255	80.019	19.978	100.887	20.077	-12.130	0.280	900.433
9.499	76.368	80.019	19.978	100.888	20.072	-11.812	0.268	900.421
9.999	76.536	80.018	19.979	100.886	20.070	-11.375	0.280	900.423
10.499	76.681	80.017	19.978	100.880	20.056	-9.820	0.312	900.399
10.999	76.809	80.018	19.977	100.875	20.034	-7.542	0.273	900.405
11.499	76.950	80.016	19.976	100.870	20.006	-4.744	0.269	900.383
11.999	77.126	80.015	19.976	100.866	19.971	-1.447	0.317	900.405
12.500	77.339	80.017	19.977	100.893	19.950	0.848	0.389	900.353
13.000	77.539	80.016	19.977	100.979	19.933	2.621	0.412	900.362
13.499	77.776	80.017	19.976	101.110	19.925	3.798	0.438	900.351
13.999	78.011	80.018	19.977	101.269	19.919	4.849	0.472	900.381
14.500	78.294	80.017	19.977	101.441	19.917	5.485	0.518	900.384
15.000	78.573	80.017	19.976	101.594	19.918	5.989	0.562	900.381
15.500	78.848	80.014	19.977	101.694	19.925	6.041	0.554	900.369
15.999	79.167	80.017	19.977	101.744	19.934	5.884	0.594	900.380
16.500	79.518	80.017	19.977	101.759	19.938	6.071	0.669	900.363
17.000	79.880	80.016	19.976	101.747	19.944	5.999	0.713	900.334
17.499	80.194	80.016	19.976	101.716	19.953	5.714	0.677	900.368
18.000	80.566	80.014	19.976	101.674	19.954	5.981	0.686	900.356
18.499	80.939	80.013	19.976	101.630	19.960	5.726	0.745	900.355
18.999	81.378	80.017	19.976	101.580	19.973	5.056	0.812	900.338
19.499	81.732	80.017	19.976	101.535	19.977	4.946	0.793	900.347
19.999	82.156	80.017	19.976	101.491	19.984	4.723	0.778	900.344
20.500	82.561	80.014	19.976	101.456	19.993	4.296	0.827	900.347
21.000	82.968	80.016	19.978	101.417	19.998	4.206	0.812	900.356
21.499	83.401	80.016	19.978	101.378	20.002	4.196	0.841	900.351
